Date,Time,Open,High,Low,Close,Volume
2024.12.31,07:10,2606.78,2607.49,2606.74,2607.46,345
2024.12.31,07:15,2607.43,2607.64,2607.30,2607.48,301
2024.12.31,07:20,2607.51,2607.91,2607.12,2607.88,320
2024.12.31,07:25,2607.88,2607.89,2606.79,2606.90,425
2024.12.31,07:30,2606.88,2606.94,2606.42,2606.70,606
2024.12.31,07:35,2606.70,2606.73,2605.91,2606.09,470
2024.12.31,07:40,2606.10,2606.28,2605.10,2605.93,545
2024.12.31,07:45,2605.91,2606.69,2605.67,2605.76,596
2024.12.31,07:50,2605.75,2606.32,2604.02,2604.40,811
2024.12.31,07:55,2604.36,2604.47,2602.48,2604.24,1073
2024.12.31,08:00,2604.20,2605.00,2603.92,2604.08,545
2024.12.31,08:05,2604.09,2604.53,2603.47,2604.14,655
2024.12.31,08:10,2604.14,2605.28,2603.98,2604.96,679
2024.12.31,08:15,2604.97,2605.22,2604.32,2604.50,542
2024.12.31,08:20,2604.60,2607.84,2604.34,2607.56,1015
2024.12.31,08:25,2607.61,2608.22,2607.02,2607.71,989
2024.12.31,08:30,2607.72,2608.18,2606.14,2606.44,818
2024.12.31,08:35,2606.42,2607.08,2605.99,2606.74,534
2024.12.31,08:40,2606.72,2606.94,2605.94,2606.34,376
2024.12.31,08:45,2606.37,2607.41,2606.34,2607.06,377
2024.12.31,08:50,2607.09,2607.97,2606.97,2607.64,620
2024.12.31,08:55,2607.66,2608.48,2607.56,2607.78,545
2024.12.31,09:00,2607.76,2608.76,2607.37,2608.62,609
2024.12.31,09:05,2608.63,2609.11,2608.32,2608.39,496
2024.12.31,09:10,2608.38,2608.39,2607.30,2608.30,452
2024.12.31,09:15,2608.31,2608.57,2607.66,2608.26,462
2024.12.31,09:20,2608.28,2608.34,2607.33,2607.82,476
2024.12.31,09:25,2607.83,2608.26,2607.18,2607.98,516
2024.12.31,09:30,2607.97,2609.85,2607.95,2609.83,458
2024.12.31,09:35,2609.82,2610.22,2609.05,2609.46,400
2024.12.31,09:40,2609.44,2611.30,2609.27,2611.21,389
2024.12.31,09:45,2611.20,2612.73,2611.20,2612.00,589
